,H
2016-12-24,17.535333333333256
2016-12-25,17.90599999999995
2016-12-26,18.150666666666666
2016-12-27,18.305000000000064
2016-12-28,18.5179999999998
2016-12-29,18.729000000000042
2016-12-30,18.926999999999907
2016-12-31,19.145999999999958
2017-01-01,19.35200000000009
2017-01-02,19.557666666666364
2017-01-03,19.71633333333307
2017-01-04,19.87299999999982
2017-01-05,20.083999999999833
2017-01-06,20.28466666666668
2017-01-07,20.488999999999805
2017-01-08,20.673333333333176
2017-01-09,20.857333333333372
2017-01-10,21.048666666666577
2017-01-11,21.215999999999894
2017-01-12,21.320999999999913
2017-01-13,21.424999999999955
2017-01-14,21.559999999999718
2017-01-15,21.7349999999999
2017-01-16,21.864000000000033
2017-02-28,24.25299999999993
2017-03-01,26.641999999999825
2017-03-02,26.49000000000001
2017-03-03,26.271999999999707
2017-03-04,26.107999999999947
2017-03-05,25.955666666666502
2017-03-06,25.756333333333032
2017-03-07,25.558666666666568
2017-03-08,25.272333333333336
2017-03-09,24.95399999999995
2017-03-10,24.666666666666742
2017-03-11,24.394333333333407
2017-03-12,24.06066666666652
2017-03-13,23.682000000000016
2017-03-14,23.200000000000045
2017-03-15,22.711333333333187
2017-03-16,22.22366666666653
2017-03-17,21.786666666666633
2017-03-18,21.355999999999995
2017-03-19,20.97699999999986
2017-03-20,20.579333333333125
2017-03-21,20.143666666666604
2017-03-22,19.72499999999968
